actor_id,actor_name,drama_name,character_name,role
135f9c0d-ec21-41a3-93c5-dbf7b399a115,Ayaka Wilson,Saving Rock,Shiina Rin,Support Role
d9c1545e-149e-4389-860e-fdf60fd5aac4,Yamada Yusuke,Piple: AI to Kekkon Seikatsu Hajimemashita,Takuma Shusuke [Kenichi's friend],Support Role
b79bf6b8-9d06-451d-86c0-6905403c2679,Kobayashi Yutaka,"Isekai Izakaya ""Nobu""",Hans,Support Role
b79bf6b8-9d06-451d-86c0-6905403c2679,Kobayashi Yutaka,Minami no Teiou ZERO,Manda Ginjiro,Main Role
b79bf6b8-9d06-451d-86c0-6905403c2679,Kobayashi Yutaka,Nagoya Yuki Saishuu Ressha Season 6,Himself (Ep. 3),Main Role
b79bf6b8-9d06-451d-86c0-6905403c2679,Kobayashi Yutaka,Nagoya Yuki Saishuu Ressha Season 4,Himself (Ep. 1),Main Role
77ab9a56-0ed4-410c-9afe-482326c7be10,Sagiri Seina,"Isekai Izakaya ""Nobu""",Leontaine	,Support Role
d321ef9b-bd37-4a3e-be89-cae9416b67a9,Aaron Yan,Ru: Taiwan Express,Liu Ren Hao / Eric / Ryu Jingo,Main Role
8bbe6381-e52d-48cf-9da8-7731bdd353e4,Danny Liang,Ru: Taiwan Express,Lester Wong,Support Role
1f7cbd30-68d2-4e25-a7ab-1b42cc1d8c5d,Gary Edward Gitchel,Ru: Taiwan Express,Jack Bart,Support Role
98f0cb3e-37c5-4719-8613-b2af7ddeaa48,Hanakage Kanon,Tokyo Danshi Zukan,Kasumi,Support Role
b2412a97-143e-4890-974a-a1d15bfbe42f,Kamataki Eri,Ai Naki Mori de Sakebe,Ozawa Mitsuko,Support Role
18cdadd4-4099-4a28-b386-18cc9dbff886,Hinami Kyoko,Ai Naki Mori de Sakebe,Mizushima Takeo,Support Role
18cdadd4-4099-4a28-b386-18cc9dbff886,Hinami Kyoko,GARO: Versus Road,Kado Azami,Support Role
135e693d-0f36-4c63-b236-b745a950735c,Nakaya Yuzuka,Ai Naki Mori de Sakebe,Ozawa Ami,Support Role
94dac097-a16a-4334-8560-f00b05af3b65,Karita Yusuke,Kaseifu no Mitazono Season 4,Hiroshi,Support Role
14c48ebe-a23e-426a-ad3e-97128ad612ce,Kamiyama Tomohiro,Tadashii Rock Band no Tsukurikata,Akagawa Tetsuma,Main Role
14c48ebe-a23e-426a-ad3e-97128ad612ce,Kamiyama Tomohiro,Switched,Mizumoto Koushirou,Main Role
14c48ebe-a23e-426a-ad3e-97128ad612ce,Kamiyama Tomohiro,Honou no Tenkousei REBORN, Kakeru Kamiyama,Main Role
14c48ebe-a23e-426a-ad3e-97128ad612ce,Kamiyama Tomohiro,Daibinbo,Kogure Yuuto,Support Role
62829648-c797-4f71-8777-662fcb0934dc,Yoshida Kengo,Tadashii Rock Band no Tsukurikata,Kobato Noboru,Main Role
28b30073-9a3e-47de-afb6-617014652359,Utsunomiya Taira,Tadashii Rock Band no Tsukurikata,Ogino [Childhood],Support Role
5a2811ab-8464-41b1-9211-c00785924fc9,Ishizuka Hidehiko,Gyoretsu no Megami,Arisu Ryo [Ramen reviewer],Support Role
24299538-c0f4-4406-99ea-9626dd0e6c24,Anzai Kalen,M: Ai Subeki Hito ga Ite,"Hamasaki  Ayumi/ ""Ayu""",Main Role
3f4e8d2f-e5a0-40b9-a46c-20a98d199a8f,Takashima Masanobu,M: Ai Subeki Hito ga Ite,Ohama [A Victory's president],Support Role
3f4e8d2f-e5a0-40b9-a46c-20a98d199a8f,Takashima Masanobu,Byouin no Naoshikata,Kurashima Ryosuke,Support Role
3f4e8d2f-e5a0-40b9-a46c-20a98d199a8f,Takashima Masanobu,Rinsho Hanzai Gakusha Himura Hideo no Suiri Season 2,Shirafuse Masato,Support Role
3f4e8d2f-e5a0-40b9-a46c-20a98d199a8f,Takashima Masanobu,Shinhannin,Hashibami Yasuhide,Support Role
3f4e8d2f-e5a0-40b9-a46c-20a98d199a8f,Takashima Masanobu,Cain and Abel,Takada Takayuki,Support Role
3e6c9d23-2174-473a-ae86-6e69ad167b34,Nakamura Shido II,Tetsu no Hone,Nishida Goro,Support Role
3e6c9d23-2174-473a-ae86-6e69ad167b34,Nakamura Shido II,Death Note NEW GENERATION,Ryuk [Voice],Support Role
3e6c9d23-2174-473a-ae86-6e69ad167b34,Nakamura Shido II,Totto TV,Atsumi Kiyoshi,Support Role
b3c55971-42fe-48fc-8cf7-67ac305fe4dc,Kawakami Rinko,"Suteteyo, Adachi-san",[Mysterious girl],Support Role
b3c55971-42fe-48fc-8cf7-67ac305fe4dc,Kawakami Rinko,Kantan na Oshigoto desu. Ni obo shite Mita.,[Phantom girl] (Ep. 10),Guest Role
1e870d55-c885-4141-b26d-cb168dd3af38,Goto Yumi,"Suteteyo, Adachi-san",[Editor-in-chief] (Ep.1),Guest Role
a575b1d6-144b-4c60-bfc6-ec2830f2279b,Ringo Chan,Watashi no buka no Haruto-kun,Momota Sakitaro,Support Role
15fb0214-794e-44cf-ae75-027a14580c1c,Oda Yuji,Suits Season 2,Kai Shogo,Main Role
15fb0214-794e-44cf-ae75-027a14580c1c,Oda Yuji,President Nozaki Shuhei,Nozaki Shuhei,Main Role
15fb0214-794e-44cf-ae75-027a14580c1c,Oda Yuji,Suits,Kai Shugo,Main Role
15fb0214-794e-44cf-ae75-027a14580c1c,Oda Yuji,Auditor Nozaki Shuhei,Nozaki Shuhei,Main Role
15fb0214-794e-44cf-ae75-027a14580c1c,Oda Yuji,IQ246: Kareinaru Jikenbo,Homonji Sharaku,Main Role
14ca138c-77d7-4217-8e5b-8b6c559bcfd1,Kiyama Haruki,King of Dance,Majo Hiroichi,Support Role
14ca138c-77d7-4217-8e5b-8b6c559bcfd1,Kiyama Haruki,Hachioji Zombies,Kaito,Support Role
3bf66a4d-3174-43d9-ae7e-c7925f9a6351,Iwanaga Joey,King of Dance,Kisugi Kakeru,Support Role
c317fd2b-07b2-413a-8a0c-7465af4c4b3f,Takizawa Ryo,King of Dance,E-G,Support Role
678b02c2-bda7-471c-81ab-e45cf6565c42,Nishimura Takuya,Toshishita Kareshi,Shiratori (Ep. 6),Main Role
77cb098b-269c-490a-9da4-ade6371da8db,Ukaji Takashi,Silent Voice Season 2,Tsutsui Michihiro,Support Role
77cb098b-269c-490a-9da4-ade6371da8db,Ukaji Takashi,Hotarugusa,Wakuta no Gonzo,Support Role
77cb098b-269c-490a-9da4-ade6371da8db,Ukaji Takashi,Saving Rock,Kuwata Keizou,Support Role
77cb098b-269c-490a-9da4-ade6371da8db,Ukaji Takashi,Silent Voice,Tsutsui Michihiro (Ep. 1-9),Support Role
77cb098b-269c-490a-9da4-ade6371da8db,Ukaji Takashi,Onna Joushu Naotora,Ii Naomitsu,Support Role
1e42c031-cb84-4e4f-91a2-3a085b58b85a,Shiina Kanae,Silent Voice Season 2,Hayashida Shiori,Support Role
1e42c031-cb84-4e4f-91a2-3a085b58b85a,Shiina Kanae,Silent Voice,Hayashida Shiori,Support Role
1e42c031-cb84-4e4f-91a2-3a085b58b85a,Shiina Kanae,Gokudo Meshi,Mine Urara,Support Role
1e42c031-cb84-4e4f-91a2-3a085b58b85a,Shiina Kanae,Inochi Urimasu,[Cabaret girl],Support Role
1e42c031-cb84-4e4f-91a2-3a085b58b85a,Shiina Kanae,Mayonaka no Hyakkaten,[Nurse] (Ep. 47),Guest Role
e3b4b92a-0b88-43fd-bd4f-bbe6c49b766f,Kakei Toshio,Silent Voice Season 2,Miyade Koji (Ep. 1),Guest Role
e3b4b92a-0b88-43fd-bd4f-bbe6c49b766f,Kakei Toshio,Death Cash,Zaitsu Taichiro,Support Role
4baa8bc9-29f9-4be2-8b6e-09390a80c540,Narimatsu Osamu,Silent Voice Season 2,Eguchi Takashi (Ep. 1),Guest Role
c8d92507-3c09-44b2-8038-83171a9cd698,Amano Hiroyuki,Inseki Kazoku,Kadokura Kazuhiko,Support Role
f2cf6649-e814-4f32-ac4d-e0bf38e15123,Matsubara Chieko,Inseki Kazoku,Kadokura Masako,Support Role
f2cf6649-e814-4f32-ac4d-e0bf38e15123,Matsubara Chieko,Utsubokazura no Yume,Kashimada Hisako,Support Role
f2cf6649-e814-4f32-ac4d-e0bf38e15123,Matsubara Chieko,Kakuregiku,Tateishi Sachiko,Support Role
f2cf6649-e814-4f32-ac4d-e0bf38e15123,Matsubara Chieko,Iya na Onna,Ishida Koto,Support Role
f2cf6649-e814-4f32-ac4d-e0bf38e15123,Matsubara Chieko,"LIQUID - Oni no Sake, Kiseki no Kura",Sagara Yoshie,Support Role
0b55c993-ed34-4895-abf3-2d6a6fbc3e11,Saito Taiyo,Urayasu Tekkin Kazoku,Osawagi Kotetsu,Support Role
510d85c2-6339-4b5f-a777-60141c559dac,Sakata Toshio,Urayasu Tekkin Kazoku,Osawagi  Kintetsu,Support Role
