Name,Episodes,Released Year,Language,Rating,Ranking
Doctor Cha,16,2023,Korean,8.1,1794
Utsukushii Kare,6,2021,Japanese,7.8,3191
Takara-kun to Amagi-kun,8,2022,Japanese,7.6,4575
Tonbi,10,2013,Japanese,8.5,483
A League of Nobleman,29,2023,Chinese,8.3,951
En of Love: This Is Love Story,3,2020,Thai,7.0,8195
Haru ga Kita,5,2018,Japanese,7.2,7619
Hero,11,2001,Japanese,8.0,2193
Save the Last Dance for Me,20,2004,Korean,7.7,3696
Papadol!,10,2012,Japanese,7.2,7301
Hotelier,9,2007,Japanese,6.9,8531
Room Alone,10,2014,Thai,7.1,8106
In Time With You,24,2020,Thai,7.3,7094
So Long,3,2013,Japanese,7.6,4514
Puer Tur,14,2016,Thai,7.3,6792
Make It Live: On The Beach,6,2019,Thai,6.8,8698
Autumn Cicada,49,2020,Chinese,7.7,4029
Roosevelt Game,9,2014,Japanese,7.9,2434
Untouchable,16,2017,Korean,7.3,6666
Payakorn Sorn Ruk,13,2020,Thai,7.9,2755
Loneliness Society,14,2023,Thai,7.3,6676
On Children,5,2018,Taiwanese,7.7,4064
When We Were Young,24,2018,Chinese,8.4,746
The Queen's Classroom,11,2005,Japanese,8.2,1407
Lie After Lie,16,2020,Korean,8.3,821
46 Days,18,2021,Thai,7.9,2412
Give Love Away,50,2013,Korean,6.9,8555
Colourful Bone,54,2017,Chinese,7.8,3494
"Hanbun, Aoi",156,2018,Japanese,7.9,2388
GO Into Your Heart,41,2021,Chinese,7.9,2377
Ooku: The Inner Chamber,10,2012,Japanese,7.6,4680
Summer Snow,11,2000,Japanese,7.7,4019
Sweet Home,10,2020,Korean,8.7,229
More Than Friends,16,2020,Korean,7.3,6893
Wedding,18,2005,Korean,7.0,8137
Mr. Durian,24,2022,Chinese,7.0,8286
Chief of Staff Season 2,10,2019,Korean,8.2,1347
Detective Sweet,10,2016,Chinese,7.0,8280
Love Unexpected,24,2022,Chinese,7.1,7917
Watashi wo Hanasanaide,10,2016,Japanese,7.8,3051
Yellow Boots,108,2012,Korean,7.8,3290
The Rules of Love,12,2019,Chinese,7.5,5620
Good Time,38,2015,Chinese,7.2,7328
Scandal,36,2013,Korean,7.7,3959
Ming Dynasty,64,2019,Chinese,7.8,3609
Like Love,15,2014,Chinese,7.4,6162
Kairos,16,2020,Korean,8.5,500
Brilliant Class 8,40,2022,Chinese,7.7,3839
Partners for Justice,32,2018,Korean,8.4,802
Good and Evil,32,2021,Chinese,7.6,4504
Someone Like You,20,2015,Taiwanese,7.9,2389
Confession,16,2019,Korean,8.3,905
17.3 About a Sex,9,2020,Japanese,8.2,1293
Oh! My Girl!!,9,2008,Japanese,7.1,8072
Joseon Attorney: A Morality,16,2023,Korean,8.0,2332
Coffee & Vanilla,10,2019,Japanese,6.9,8626
Poisoned Love,24,2020,Chinese,8.1,1894
With You,24,2016,Chinese,7.9,2491
Henshin,5,2014,Japanese,7.6,4784
Can't Lose,18,2011,Korean,6.8,8773
Jack o' Frost,6,2023,Japanese,7.7,3663
The Way We Were,50,2018,Chinese,7.5,5822
The King's Woman,48,2017,Chinese,7.8,3313
Waru: Hataraku no ga Kakko Warui Nante Dare ga Itta?,10,2022,Japanese,8.0,2219
Yankee-kun to Megane-chan,10,2010,Japanese,7.5,5851
Atsu Hime,50,2008,Japanese,7.9,2747
Chiisana Kyojin,10,2017,Japanese,7.6,4377
"Soshite, Dare mo Inaku Natta",9,2016,Japanese,7.5,5300
Jigoku Shoujo,12,2006,Japanese,7.2,7395
Girl of 0AM,8,2015,Korean,7.1,7843
How to Hate You,6,2019,Korean,7.8,3183
Want More 19,7,2018,Korean,7.6,4887
Yokoso Wagaya e,10,2015,Japanese,7.8,3129
Falling in Love With Cats,24,2020,Chinese,7.1,8019
Miraculous Brothers,16,2023,Korean,8.0,2259
Xuan-Yuan Sword: Scar of Sky,36,2012,Chinese,7.7,4261
Dr. Cutie,28,2020,Chinese,7.9,2759
The Longest Promise,40,2023,Chinese,7.9,2701
Rang Mai Hua Jai Derm,16,2016,Thai,7.7,4264
Mahoro Ekimae Bangaichi,12,2013,Japanese,8.1,1649
Just You,21,2013,Taiwanese,7.9,2801
Circle,12,2017,Korean,8.4,647
Simmer Down,40,2022,Chinese,7.5,5178
Killer And Healer,37,2021,Chinese,8.5,515
Recipe for Youth,10,2021,Korean,6.9,8619
The Package,12,2017,Korean,8.1,1879
Three Kingdoms,95,2010,Chinese,8.3,944
Be My Cat,16,2021,Chinese,7.9,2777
Bara no nai Hanaya,11,2008,Japanese,7.9,2505
Adult Trainee,7,2021,Korean,7.8,3160
Galileo,10,2007,Japanese,8.0,1994
We Are All Alone,36,2020,Chinese,7.9,2920
Neko,6,2020,Japanese,7.6,4534
Sensei ni Koishita Natsu,8,2016,Japanese,7.2,7661
Fah Mee Tawan,18,2020,Thai,7.8,3278
Bloody Monday Season 2,9,2010,Japanese,8.3,999
Cheese in the Trap,16,2016,Korean,7.4,6215
V no Arashi,15,1999,Japanese,7.3,6760
Back to 1989,21,2016,Taiwanese,8.1,1751
What's Your Blood Type?,7,2016,Korean,7.6,4723
Fudanshi Bartender no Tashinami,2,2022,Japanese,7.0,8344
Devil Inspector,9,2017,Korean,7.2,7366
Love You Seven Times,38,2023,Chinese,8.4,686
FAKE MOTION: Takkyu no Osho,8,2020,Japanese,7.8,3135
Love Songs Love Stories Special: Close To My Heartbeats,2,2016,Thai,7.5,5502
Color Rush,8,2020,Korean,7.6,4761
Jai Rao,15,2008,Thai,7.4,6180
Adventurous Romance,12,2019,Chinese,7.1,8020
Easy Fortune Happy Life,17,2009,Taiwanese,7.3,7245
30 Kin Sore wa 30-sai Miman Okotowari no Koi,8,2020,Japanese,7.3,6820
Princess Silver,58,2019,Chinese,8.0,2060
My Ambulance,16,2019,Thai,7.6,4645
Kissable Lips,8,2022,Korean,6.8,8709
See You in My 19th Life,12,2023,Korean,8.5,583
Between,18,2018,Taiwanese,7.3,7100
Sanctuary: Seiiki,8,2023,Japanese,7.8,3333
High School Big Bang,15,2020,Chinese,7.7,3949
Hana Yori Dango 2,11,2007,Japanese,8.2,1178
Somebody,8,2022,Korean,6.9,8479
Failing in Love,10,2019,Korean,7.5,5396
Age of Legends,47,2018,Chinese,8.0,2227
Heirs,45,2017,Chinese,7.4,6537
Dream,20,2009,Korean,6.8,8801
Ugly Duckling Series: Don't,7,2015,Thai,7.8,3394
Todome no Kiss,10,2018,Japanese,8.2,1156
Kurokawa no Techo,8,2017,Japanese,7.6,4381
Men with Sword,30,2016,Chinese,7.5,5288
Clone Baby,11,2010,Japanese,7.3,7232
Glorious Day,44,2014,Korean,7.8,3038
Snowdrop,16,2021,Korean,8.4,672
Five,8,2017,Japanese,7.4,6130
"Thank You, Doctor",40,2022,Chinese,7.6,4989
From Repair to Pair,23,2022,Chinese,7.4,6323
Bromance,18,2015,Taiwanese,7.9,2439
The Miracle,12,2016,Korean,7.1,8069
Trot Lovers,16,2014,Korean,7.3,6801
Platonic,8,2014,Japanese,7.4,6309
Jojo's World,15,2017,Taiwanese,7.4,6039
Fall in Love,36,2021,Chinese,8.4,688
Raeng Pradtanaha,15,2013,Thai,7.6,4499
Khu Khaen Saen Rak,17,2021,Thai,7.8,3580
Dear.M,12,2022,Korean,8.0,2028
Society Obsessed with Love,5,2018,Korean,7.5,5654
Chinese Paladin,34,2005,Chinese,7.9,2638
Behind Your Smile,19,2016,Taiwanese,7.8,3292
Heartbeat Broadcasting Accident,10,2021,Korean,7.5,5552
Bloodhounds,8,2023,Korean,8.6,282
Lovely Swords Girl,24,2019,Chinese,7.6,5040
Not Me,14,2021,Thai,8.5,452
Times,12,2021,Korean,7.7,4098
HiGH&LOW THE WORST EPISODE.0,6,2019,Japanese,8.0,2316
Summer's Desire,36,2018,Chinese,7.4,6124
The Faded Light Years,40,2018,Chinese,7.3,6649
The Miracle of Teddy Bear,16,2022,Thai,7.9,2821
Zeni no Senso,11,2015,Japanese,7.8,3526
Emperors and Me,24,2019,Chinese,7.3,6812
Running Gu,4,2010,Korean,7.2,7671
Mrs. Cop Season 2,20,2016,Korean,7.4,5966
Last Christmas,11,2004,Japanese,7.4,6254
Paen Rai Long Tai Wa Rak,30,2017,Thai,7.7,4034
Queen of Ambition,24,2013,Korean,7.6,4364
Timing,4,2020,Korean,7.8,3073
The Village: Achiara's Secret,16,2015,Korean,7.8,3592
The Taoism Grandmaster,46,2018,Chinese,7.9,2590
Takane to Hana,8,2019,Japanese,7.3,7143
Nippon Noir: Detective Y's Rebellion,10,2019,Japanese,7.5,5923
SP,11,2007,Japanese,7.7,4023
