actor_id,actor_name,drama_name,character_name,role
062c53aa-dae9-4524-828b-70363557542c,Michael Pattaradet Sa-nguankwamdee,Banlang Hong,Pariwat,Main Role
062c53aa-dae9-4524-828b-70363557542c,Michael Pattaradet Sa-nguankwamdee,Nohra,Kanchit,Main Role
062c53aa-dae9-4524-828b-70363557542c,Michael Pattaradet Sa-nguankwamdee,Atita,Sirote,Main Role
062c53aa-dae9-4524-828b-70363557542c,Michael Pattaradet Sa-nguankwamdee,Roy Ruk Raeng Kaen,Kimhan,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Phetra Naruemit,Bua,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,The Lost Soul,"Sritrung Phongphi / ""Sri""",Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Nee Kiattiyot,Pantawan,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Suparburoot Jorm Jon: Duang Jai Kabot,Aonkam [Court Lady],Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Pleng Ruk Pleng Bpeun,Namwan,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Nang Rai,"Anuwadee / ""Wadee""",Support Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Hi-So Sa Orn,"Mayrisa / ""Mary""",Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Sarawat Mae Luk On,Laweng Pookong,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,La Ong Dao,"Rerngjai / ""Nid"" [Dao’s  best friend]",Support Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Hak Lin Chang,Lampao,Support Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Chaobao Klua Fon,Tungpaeng/Paeng/Thawinan Pakdithai,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Fad Lhong Hon,Pimdeun | Pimdao | Pimjan,Main Role
071ef6d8-b30b-43fc-8f3a-43dd4316c5e7,Maggi Apa Bhavilai,Mae Dokrak Re,Bua Tong,Main Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Phetra Naruemit,Kaew / Chokaew,Main Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,The In-laws,Noina,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Rarng Ruk Prang Jai,Jeera,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Singh Sang Pa,Orn/ Orn Anong,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Kon Tawan Laeng,"""Gib"" Kanlaya",Main Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Khun Chai Tum Raberd,Jingreet,Main Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,See Mai Karn,Kaew,Main Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Kularb Kror Petch,Niramon,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Leh Ruk Bussaba,Fahsai,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Mae Ai Sae Eun,Choreuang Puangkham,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Wan Chai Nai Hunyon,Priew,Main Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Sarb Dok Soi,Sompor,Support Role
17f094ba-cc1c-42f2-8c64-9bc47cb9f067,Mameaw Pornchada Warapachara,Phayasok,Penpoyom,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Phetra Naruemit,"""Thep"" Sasithep",Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Shadow Enemy,Sakan,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Khem Sorn Plai,Dr. Ruengboon,Main Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Morlam Summer,Khomkrit,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Rarng Ruk Prang Jai,Kanin,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Mae Bia,Parkpoom,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Mon Garn Bandan Ruk,Oh,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Jao Saming,San,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Jao Sao Chang Yon,Panu,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Leh Ruk Yah Jai,Karun,Main Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,The Law Protector,Wathit,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Pring Khon Rerng Muang,Boonchuoy,Main Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Nark Boon Song Klot,Fu Chien,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Cheun Cheewa,Natthee,Support Role
08b60714-c39c-474f-986c-b6921d427d28,Pol Poonpat Attapanyapol,Khoei Yai Saphai Lek,Wisawa / Wa,Main Role
